,support,itemset,ac,ac_div,ac_t,length,support_count
0,0.05163297045101089,frozenset({'ABSTRACT CONCEPT=Emotions'}),0.6987951807228916,0.1598371713916319,8.69749029677135,1,664.0
1,0.07138413685847589,frozenset({'GEOPOLITICAL ISSUE=Politics'}),0.6514161220043573,0.11245811267309758,6.875743180214356,1,918.0
2,0.05451010886469673,frozenset({'VIOLENCE=Threat or Risk'}),0.6276747503566333,0.08871674102537364,4.713544745258288,1,701.0
3,0.05870917573872473,frozenset({'CULTURE=Groups/Names'}),0.6,0.061041990668740276,3.3159816809740237,1,755.0
4,0.12480559875583204,frozenset({'GENDER ISSUE=Gender'}),0.577570093457944,0.038612084126684265,2.9453245734497004,1,1605.0
5,0.053421461897356144,frozenset({'GEOPOLITICAL ISSUE=Locations/Geography'}),0.5618631732168851,0.022905163885625357,1.172104816545555,1,687.0
6,0.06298600311041991,frozenset({'SOCIETY=Social setting/impact'}),0.5469135802469136,0.007955570915653909,0.4358078785982567,1,810.0
7,0.09354587869362364,frozenset({'ABSTRACT CONCEPT=Claim/Opinion'}),0.541978387364921,0.003020378033661286,0.19704824146340064,1,1203.0
8,1.0,frozenset(),0.5389580093312597,0.0,0.0,0,12860.0
9,0.07496111975116641,frozenset({'ABSTRACT CONCEPT=Personal traits/taste'}),0.5259336099585062,-0.013024399372753459,0.7852005692590751,1,964.0
10,0.05878693623639191,frozenset({'HEALTH=Health Medicine'}),0.503968253968254,-0.03498975536300575,1.8740602351849458,1,756.0
11,0.07527216174183515,frozenset({'OTHER=Time & Events'}),0.4297520661157025,-0.10920594321555721,6.61580355658154,1,968.0
12,0.05062208398133748,frozenset({'DISCRIMINATION=Racial stereotypes'}),0.4116743471582181,-0.1272836621730416,6.433523747302358,1,651.0
13,0.06741835147744946,frozenset({'DISCRIMINATION=Religion'}),0.40945790080738176,-0.12950010852387794,7.498199509120493,1,867.0
14,0.05645412130637636,frozenset({'SEXUALITY=Sexuality'}),0.3760330578512397,-0.16292495148002,8.800392205306602,1,726.0
15,0.20171073094867809,frozenset({'DISCRIMINATION=Race or ethnicity'}),0.3284502698535081,-0.2105077394777516,20.60190361266401,1,2594.0
