,support,itemset,fp,fp_div,fp_t,length,support_count
0,0.12480559875583204,frozenset({'GENDER ISSUE=Gender'}),0.2987551867219917,0.22750708161840402,10.831946651937866,1,1605.0
1,0.07496111975116641,frozenset({'ABSTRACT CONCEPT=Personal traits/taste'}),0.1358313817330211,0.06458327662943342,3.903858783668961,1,964.0
2,0.05645412130637636,frozenset({'SEXUALITY=Sexuality'}),0.1267605633802817,0.055512458276694016,2.542527544803942,1,726.0
3,0.05451010886469673,frozenset({'VIOLENCE=Threat or Risk'}),0.097799511002445,0.026551405898857322,1.8738073499807195,1,701.0
4,0.06298600311041991,frozenset({'SOCIETY=Social setting/impact'}),0.07692307692307693,0.005674971819489255,0.5448997294718315,1,810.0
5,0.05870917573872473,frozenset({'CULTURE=Groups/Names'}),0.07692307692307693,0.005674971819489255,0.5595475785707809,1,755.0
6,0.20171073094867809,frozenset({'DISCRIMINATION=Race or ethnicity'}),0.07177033492822966,0.0005222298246419926,0.15962157810078148,1,2594.0
7,1.0,frozenset(),0.07124810510358767,0.0,0.0,0,12860.0
8,0.05062208398133748,frozenset({'DISCRIMINATION=Racial stereotypes'}),0.06976744186046512,-0.001480663243122557,0.12992326280011096,1,651.0
9,0.06741835147744946,frozenset({'DISCRIMINATION=Religion'}),0.059800664451827246,-0.011447440651760427,0.6074174929754577,1,867.0
10,0.09354587869362364,frozenset({'ABSTRACT CONCEPT=Claim/Opinion'}),0.05309734513274336,-0.01815075997084431,1.6541506886251747,1,1203.0
11,0.05163297045101089,frozenset({'ABSTRACT CONCEPT=Emotions'}),0.04656319290465632,-0.024684912198931354,2.1480131163107554,1,664.0
12,0.05878693623639191,frozenset({'HEALTH=Health Medicine'}),0.04451038575667656,-0.02673771934691111,2.020270515328686,1,756.0
13,0.07527216174183515,frozenset({'OTHER=Time & Events'}),0.0440771349862259,-0.027170970117361776,2.1560658332233382,1,968.0
14,0.07138413685847589,frozenset({'GEOPOLITICAL ISSUE=Politics'}),0.03527336860670194,-0.035974736496885734,4.0219373267396765,1,918.0
15,0.053421461897356144,frozenset({'GEOPOLITICAL ISSUE=Locations/Geography'}),0.029239766081871343,-0.04200833902171633,3.924281372900989,1,687.0
